LocalTime,Users,GET_Token_wCredentials,SBR_GET_Events_$EventID_Racecard,BET_PUT_Combinations_Racing,SBS_GET_Events_$EventId_SportCard,BET_POST_Bets_Win_Racing,SBS_GET_Events_$EventId_MarketGroupings_$MarketGrouping_Markets,BET_POST_Bets_Win_Sport,BET_POST_Bets_Quinella
1534344697227.0,5.0,787.0,0,0,0,0,0,0,0
1534344698026.0,5.0,0,134.1,0,0,0,0,0,0
1534344698221,5.0,0,0,0,0,0,0,0,0
1534344698514.0,5.0,0,0,380.0,0,0,0,0,0
1534344699026.0,5.0,0,119.0,0,0,0,0,0,0
1534344699221,5.0,0,0,0,0,0,0,0,0
1534344699465.0,5.0,0,0,0,518.0,0,0,0,0
1534344699514.0,5.0,0,0,777.0,0,0,0,0,0
1534344700026.0,5.0,0,122.0,0,0,0,0,0,0
1534344700186.0,5.0,0,0,0,0,0,391.0,0,0
1534344700221,5.0,0,0,0,0,0,0,0,0
1534344700514.0,5.5,0,0,791.6,0,0,0,0,0
1534344701221,6.0,0,0,0,0,0,0,0,0
1534344701227.0,6.0,818.0,0,0,0,0,0,0,0
1534344701508.0,6.0,0,0,0,0,0,0,612.0,0
1534344702026.0,6.0,0,124.0,0,0,0,0,0,0
1534344702221,6.0,0,0,0,0,0,0,0,0
1534344703026.0,6.0,0,125.0,0,0,0,0,0,0
1534344703221,6.0,0,0,0,0,0,0,0,0
1534344703465.0,6.0,0,0,0,283.0,0,0,0,0
1534344703514.0,6.0,0,0,386.0,0,0,0,0,0
1534344703636.0,6.0,0,0,0,0,693.0,0,0,0
1534344704026.0,6.0,0,124.7,0,0,0,0,0,0
1534344704186.0,6.0,0,0,0,0,0,295.0,0,0
1534344704221,6.0,0,0,0,0,0,0,0,0
1534344704514.0,6.5,0,0,1338.7,0,0,0,0,0
1534344705221,7.0,0,0,0,0,0,0,0,0
1534344705227.0,7.0,945.0,0,0,0,0,0,0,0
1534344705508.0,7.0,0,0,0,0,0,0,767.0,0
1534344705514.0,7.0,0,0,955.0,0,0,0,0,0
1534344706026.0,7.0,0,330.0,0,0,0,0,0,0
1534344706221,7.0,0,0,0,0,0,0,0,0
1534344707026.0,7.0,0,124.25,0,0,0,0,0,0
1534344707221,7.0,0,0,0,0,0,0,0,0
1534344707514.0,7.0,0,0,787.0,0,0,0,0,0
1534344708026.0,7.0,0,121.0,0,0,0,0,0,0
1534344708221,7.0,0,0,0,0,0,0,0,0
1534344708465.0,7.2,0,0,0,281.0,0,0,0,0
1534344708466.0,7.4,0,0,0,0,0,0,0,636.0
1534344708514.0,7.6,0,0,796.0,0,0,0,0,0
1534344709186.0,7.8,0,0,0,0,0,236.0,0,0
1534344709221,8.0,0,0,0,0,0,0,0,0
1534344709227.0,8.0,812.0,0,0,0,0,0,0,0
1534344709514.0,8.0,0,0,740.0,0,0,0,0,0
1534344710026.0,8.0,0,115.95,0,0,0,0,0,0
1534344710221,8.0,0,0,0,0,0,0,0,0
1534344710508.0,8.0,0,0,0,0,0,0,729.0,0
1534344710514.0,8.0,0,0,375.0,0,0,0,0,0
1534344711026.0,8.0,0,134.5,0,0,0,0,0,0
1534344711221,8.0,0,0,0,0,0,0,0,0
1534344711514.0,8.0,0,0,754.0,0,0,0,0,0
1534344712026.0,8.0,0,120.8,0,0,0,0,0,0
1534344712221,8.0,0,0,0,0,0,0,0,0
1534344712465.0,8.25,0,0,0,559.0,0,0,0,0
1534344712514.0,8.5,0,0,914.5,0,0,0,0,0
1534344712636.0,8.75,0,0,0,0,362.0,0,0,0
1534344713221,9.0,0,0,0,0,0,0,0,0
1534344713227.0,9.0,599.0,0,0,0,0,0,0,0
1534344713514.0,9.0,0,0,393.0,0,0,0,0,0
1534344714026.0,9.0,0,122.6,0,0,0,0,0,0
1534344714186.0,9.0,0,0,0,0,0,414.0,0,0
1534344714221,9.0,0,0,0,0,0,0,0,0
1534344715026.0,9.0,0,118.0,0,0,0,0,0,0
1534344715221,9.0,0,0,0,0,0,0,0,0
1534344715466.0,9.0,0,0,0,0,0,0,0,451.0
1534344715508.0,9.0,0,0,0,0,0,0,705.0,0
