Errors,LocalTime,GET_Token_wCredentials,ACC_PUT_Flags,ACC_GET_Freebets,ACC_GET_Balance,ACC_GET_Limits_Dep,ACC_GET_Preferences,ACC_GET_Status,ACC_GET_Services,ACC_GET_Accounts,ACC_GET_Joint
0,1534344735506.0,0,0,0,245.5,0,0,0,0,0,0
0,1534344736593.0,0,0,0,0,0,247.0,0,0,0,0
0,1534344736776.0,0,0,0,0,372.0,0,0,0,0,0
0,1534344737224.0,761.0,0,0,0,0,0,0,0,0,0
0,1534344737304.0,0,0,258.55,0,0,0,0,0,0,0
0,1534344737536.0,0,0,0,0,0,0,0,0,0,233.0
0,1534344738055.0,0,0,0,0,0,0,0,240.0,0,0
0,1534344738506.0,0,0,0,248.0,0,0,0,0,0,0
0,1534344738532.0,0,0,0,0,0,0,0,0,238.0,0
0,1534344738664.0,0,0,0,0,0,0,386.0,0,0,0
0,1534344739532.0,0,0,0,0,0,0,0,0,242.0,0
0,1534344739924.0,0,248.0,0,0,0,0,0,0,0,0
0,1534344740506.0,0,0,0,292.0,0,0,0,0,0,0
0,1534344740532.0,0,0,0,0,0,0,0,0,251.0,0
0,1534344741055.0,0,0,0,0,0,0,0,684.0,0,0
0,1534344741224.0,1277.0,0,0,0,0,0,0,0,0,0
0,1534344741506.0,0,0,0,523.95,0,0,0,0,0,0
0,1534344741924.0,0,250.0,0,0,0,0,0,0,0,0
0,1534344742506.0,0,0,0,249.2,0,0,0,0,0,0
0,1534344742536.0,0,0,0,0,0,0,0,0,0,235.85
0,1534344743506.0,0,0,0,234.0,0,0,0,0,0,0
0,1534344743776.0,0,0,0,0,506.15,0,0,0,0,0
0,1534344744506.0,0,0,0,236.0,0,0,0,0,0,0
0,1534344744776.0,0,0,0,0,373.0,0,0,0,0,0
0,1534344745055.0,0,0,0,0,0,0,0,255.0,0,0
0,1534344745224.0,723.0,0,0,0,0,0,0,0,0,0
0,1534344745506.0,0,0,0,241.75,0,0,0,0,0,0
0,1534344745776.0,0,0,0,0,372.0,0,0,0,0,0
0,1534344746506.0,0,0,0,247.5,0,0,0,0,0,0
0,1534344746664.0,0,0,0,0,0,0,381.0,0,0,0
0,1534344746776.0,0,0,0,0,371.95,0,0,0,0,0
