LocalTime,RPS,GET_Token_wCredentials,ACC_PUT_Flags,ACC_GET_Freebets,ACC_GET_Balance,ACC_GET_Limits_Dep,ACC_GET_Preferences,ACC_GET_Status,ACC_GET_Services,ACC_GET_Accounts,ACC_GET_Joint
1534344706506.0,1.667,0,0,0,251.1,0,0,0,0,0,0
1534344707055.0,1.633,0,0,0,0,0,0,0,247.0,0,0
1534344707224,1.6,0,0,0,0,0,0,0,0,0,0
1534344707506.0,1.633,0,0,0,394.0,0,0,0,0,0,0
1534344708055.0,1.667,0,0,0,0,0,0,0,253.0,0,0
1534344708224,1.7,0,0,0,0,0,0,0,0,0,0
1534344709224,1.6,0,0,0,0,0,0,0,0,0,0
1534344709224.0,1.7,778.0,0,0,0,0,0,0,0,0,0
1534344709532.0,1.8,0,0,0,0,0,0,0,0,245.0,0
1534344710224,1.9,0,0,0,0,0,0,0,0,0,0
1534344710506.0,1.95,0,0,0,396.2,0,0,0,0,0,0
1534344710532.0,2.0,0,0,0,0,0,0,0,0,254.0,0
1534344710536.0,2.05,0,0,0,0,0,0,0,0,0,235.0
1534344711224,2.1,0,0,0,0,0,0,0,0,0,0
1534344711506.0,2.033,0,0,0,245.0,0,0,0,0,0,0
1534344711776.0,1.967,0,0,0,0,367.0,0,0,0,0,0
1534344712224,1.9,0,0,0,0,0,0,0,0,0,0
1534344713224,2.0,0,0,0,0,0,0,0,0,0,0
1534344713224.0,1.975,729.0,0,0,0,0,0,0,0,0,0
1534344713506.0,1.95,0,0,0,254.0,0,0,0,0,0,0
1534344713924.0,1.925,0,249.0,0,0,0,0,0,0,0,0
1534344714224,1.9,0,0,0,0,0,0,0,0,0,0
1534344714506.0,2.0,0,0,0,247.0,0,0,0,0,0,0
1534344714776.0,2.1,0,0,0,0,513.0,0,0,0,0,0
1534344715224,2.2,0,0,0,0,0,0,0,0,0,0
1534344715506.0,2.2,0,0,0,245.8,0,0,0,0,0,0
1534344715776.0,2.2,0,0,0,0,371.0,0,0,0,0,0
1534344716224,2.2,0,0,0,0,0,0,0,0,0,0
1534344716593.0,2.2,0,0,0,0,0,254.0,0,0,0,0
1534344717224,2.2,0,0,0,0,0,0,0,0,0,0
1534344717224.0,2.225,1056.0,0,0,0,0,0,0,0,0,0
1534344717506.0,2.25,0,0,0,321.0,0,0,0,0,0,0
1534344717924.0,2.275,0,241.85,0,0,0,0,0,0,0,0
1534344718224,2.3,0,0,0,0,0,0,0,0,0,0
1534344719224,2.3,0,0,0,0,0,0,0,0,0,0
1534344719506.0,2.32,0,0,0,378.65,0,0,0,0,0,0
1534344719664.0,2.34,0,0,0,0,0,0,239.0,0,0,0
1534344719776.0,2.36,0,0,0,0,383.0,0,0,0,0,0
1534344719924.0,2.38,0,266.0,0,0,0,0,0,0,0,0
1534344720224,2.4,0,0,0,0,0,0,0,0,0,0
1534344720304.0,2.4,0,0,268.0,0,0,0,0,0,0,0
1534344720776.0,2.4,0,0,0,0,373.0,0,0,0,0,0
1534344721224,2.4,0,0,0,0,0,0,0,0,0,0
1534344721224.0,2.4,816.0,0,0,0,0,0,0,0,0,0
1534344721506.0,2.4,0,0,0,235.0,0,0,0,0,0,0
1534344722224,2.4,0,0,0,0,0,0,0,0,0,0
1534344722506.0,2.433,0,0,0,256.0,0,0,0,0,0,0
