LocalTime,RPS,GET_Token_wCredentials,SBR_GET_Events_$EventID_Racecard,BET_PUT_Combinations_Racing,SBS_GET_Events_$EventId_SportCard,BET_POST_Bets_Win_Racing,SBS_GET_Events_$EventId_MarketGroupings_$MarketGrouping_Markets,BET_POST_Bets_Win_Sport,BET_POST_Bets_Quinella
1534344716227,4.5,0,0,0,0,0,0,0,0
1534344716636.0,4.5,0,0,0,0,1363.8,0,0,0
1534344717026.0,4.5,0,231.15,0,0,0,0,0,0
1534344717227,4.5,0,0,0,0,0,0,0,0
1534344717227.0,4.48,1024.0,0,0,0,0,0,0,0
1534344717514.0,4.46,0,0,421.0,0,0,0,0,0
1534344717636.0,4.44,0,0,0,0,791.0,0,0,0
1534344718026.0,4.42,0,243.2,0,0,0,0,0,0
1534344718227,4.4,0,0,0,0,0,0,0,0
1534344718514.0,4.425,0,0,670.65,0,0,0,0,0
1534344718636.0,4.45,0,0,0,0,398.0,0,0,0
1534344719026.0,4.475,0,118.95,0,0,0,0,0,0
1534344719227,4.5,0,0,0,0,0,0,0,0
1534344719514.0,4.6,0,0,402.9,0,0,0,0,0
1534344720026.0,4.7,0,119.0,0,0,0,0,0,0
1534344720227,4.8,0,0,0,0,0,0,0,0
1534344720514.0,4.8,0,0,530.0,0,0,0,0,0
1534344721026.0,4.8,0,136.5,0,0,0,0,0,0
1534344721227,4.8,0,0,0,0,0,0,0,0
1534344721227.0,4.8,816.0,0,0,0,0,0,0,0
1534344721514.0,4.8,0,0,412.7,0,0,0,0,0
1534344722026.0,4.8,0,120.6,0,0,0,0,0,0
1534344722227,4.8,0,0,0,0,0,0,0,0
1534344722465.0,4.86,0,0,0,580.0,0,0,0,0
1534344722466.0,4.92,0,0,0,0,0,0,0,324.0
1534344722514.0,4.98,0,0,347.0,0,0,0,0,0
1534344723026.0,5.04,0,117.85,0,0,0,0,0,0
1534344723227,5.1,0,0,0,0,0,0,0,0
1534344723514.0,5.075,0,0,740.8,0,0,0,0,0
1534344724026.0,5.05,0,115.0,0,0,0,0,0,0
1534344724186.0,5.025,0,0,0,0,0,329.0,0,0
1534344724227,5.0,0,0,0,0,0,0,0,0
1534344724465.0,5.025,0,0,0,278.0,0,0,0,0
1534344724514.0,5.05,0,0,896.95,0,0,0,0,0
1534344725026.0,5.075,0,142.7,0,0,0,0,0,0
1534344725227,5.1,0,0,0,0,0,0,0,0
1534344725227.0,5.157,797.0,0,0,0,0,0,0,0
1534344725508.0,5.214,0,0,0,0,0,0,684.0,0
1534344725514.0,5.271,0,0,429.0,0,0,0,0,0
1534344725636.0,5.329,0,0,0,0,386.0,0,0,0
1534344726026.0,5.386,0,122.6,0,0,0,0,0,0
1534344726186.0,5.443,0,0,0,0,0,229.0,0,0
1534344726227,5.5,0,0,0,0,0,0,0,0
1534344726466.0,5.55,0,0,0,0,0,0,0,371.0
1534344726636.0,5.6,0,0,0,0,416.0,0,0,0
1534344727026.0,5.65,0,121.0,0,0,0,0,0,0
1534344727227,5.7,0,0,0,0,0,0,0,0
1534344727465.0,5.667,0,0,0,302.0,0,0,0,0
1534344727508.0,5.633,0,0,0,0,0,0,440.0,0
1534344727514.0,5.6,0,0,659.5,0,0,0,0,0
1534344727636.0,5.567,0,0,0,0,453.0,0,0,0
1534344728026.0,5.533,0,119.0,0,0,0,0,0,0
1534344728227,5.5,0,0,0,0,0,0,0,0
1534344729026.0,5.633,0,119.9,0,0,0,0,0,0
1534344729186.0,5.767,0,0,0,0,0,286.0,0,0
1534344729227,5.9,0,0,0,0,0,0,0,0
1534344729227.0,5.95,1048.0,0,0,0,0,0,0,0
1534344729465.0,6.0,0,0,0,281.9,0,0,0,0
1534344729514.0,6.05,0,0,894.0,0,0,0,0,0
1534344730026.0,6.1,0,122.0,0,0,0,0,0,0
1534344730186.0,6.15,0,0,0,0,0,237.6,0,0
1534344730227,6.2,0,0,0,0,0,0,0,0
1534344730465.0,6.214,0,0,0,277.0,0,0,0,0
1534344730466.0,6.229,0,0,0,0,0,0,0,467.0
1534344730508.0,6.243,0,0,0,0,0,0,482.0,0
1534344730514.0,6.257,0,0,402.8,0,0,0,0,0
1534344731026.0,6.271,0,119.9,0,0,0,0,0,0
1534344731186.0,6.286,0,0,0,0,0,228.0,0,0
1534344731227,6.3,0,0,0,0,0,0,0,0
1534344731465.0,6.317,0,0,0,275.0,0,0,0,0
1534344731508.0,6.333,0,0,0,0,0,0,452.6,0
1534344731514.0,6.35,0,0,705.0,0,0,0,0,0
1534344732026.0,6.367,0,118.0,0,0,0,0,0,0
1534344732186.0,6.383,0,0,0,0,0,382.0,0,0
1534344732227,6.4,0,0,0,0,0,0,0,0
1534344732508.0,6.42,0,0,0,0,0,0,416.0,0
1534344732514.0,6.44,0,0,381.0,0,0,0,0,0
1534344732636.0,6.46,0,0,0,0,331.0,0,0,0
1534344733026.0,6.48,0,121.8,0,0,0,0,0,0
1534344733227,6.5,0,0,0,0,0,0,0,0
1534344733227.0,6.571,795.0,0,0,0,0,0,0,0
1534344733465.0,6.643,0,0,0,514.0,0,0,0,0
1534344733508.0,6.714,0,0,0,0,0,0,338.0,0
1534344733514.0,6.786,0,0,388.0,0,0,0,0,0
1534344733636.0,6.857,0,0,0,0,469.0,0,0,0
1534344734026.0,6.929,0,145.4,0,0,0,0,0,0
1534344734227,7.0,0,0,0,0,0,0,0,0
1534344734514.0,7.075,0,0,668.0,0,0,0,0,0
1534344735026.0,7.15,0,121.8,0,0,0,0,0,0
1534344735186.0,7.225,0,0,0,0,0,396.0,0,0
1534344735227,7.3,0,0,0,0,0,0,0,0
1534344735465.0,7.22,0,0,0,276.0,0,0,0,0
1534344735514.0,7.14,0,0,393.8,0,0,0,0,0
1534344736026.0,7.06,0,117.9,0,0,0,0,0,0
1534344736186.0,6.98,0,0,0,0,0,228.0,0,0
1534344736227,6.9,0,0,0,0,0,0,0,0
1534344736508.0,6.925,0,0,0,0,0,0,400.0,0
1534344736514.0,6.95,0,0,521.2,0,0,0,0,0
1534344737026.0,6.975,0,232.0,0,0,0,0,0,0
1534344737227,7.0,0,0,0,0,0,0,0,0
1534344737227.0,7.1,694.0,0,0,0,0,0,0,0
1534344737508.0,7.2,0,0,0,0,0,0,436.0,0
1534344738026.0,7.3,0,143.1,0,0,0,0,0,0
1534344738227,7.4,0,0,0,0,0,0,0,0
1534344738514.0,7.4,0,0,414.0,0,0,0,0,0
1534344738636.0,7.4,0,0,0,0,401.0,0,0,0
1534344739026.0,7.4,0,122.0,0,0,0,0,0,0
1534344739227,7.4,0,0,0,0,0,0,0,0
1534344739514.0,7.333,0,0,515.3,0,0,0,0,0
1534344740026.0,7.267,0,118.0,0,0,0,0,0,0
1534344740227,7.2,0,0,0,0,0,0,0,0
1534344740514.0,7.225,0,0,1326.5,0,0,0,0,0
1534344740636.0,7.25,0,0,0,0,1127.0,0,0,0
1534344741026.0,7.275,0,115.0,0,0,0,0,0,0
1534344741227,7.3,0,0,0,0,0,0,0,0
1534344741227.0,7.35,1011.0,0,0,0,0,0,0,0
1534344741465.0,7.4,0,0,0,277.0,0,0,0,0
1534344742026.0,7.45,0,142.5,0,0,0,0,0,0
1534344742227,7.5,0,0,0,0,0,0,0,0
1534344742465.0,7.55,0,0,0,278.0,0,0,0,0
1534344742514.0,7.6,0,0,762.6,0,0,0,0,0
1534344742636.0,7.65,0,0,0,0,474.0,0,0,0
1534344743026.0,7.7,0,117.8,0,0,0,0,0,0
1534344743186.0,7.75,0,0,0,0,0,326.1,0,0
1534344743227,7.8,0,0,0,0,0,0,0,0
1534344743465.0,7.8,0,0,0,280.0,0,0,0,0
1534344743466.0,7.8,0,0,0,0,0,0,0,352.0
1534344743514.0,7.8,0,0,740.1,0,0,0,0,0
1534344743636.0,7.8,0,0,0,0,405.0,0,0,0
1534344744026.0,7.8,0,116.8,0,0,0,0,0,0
1534344744186.0,7.8,0,0,0,0,0,325.0,0,0
1534344744227,7.8,0,0,0,0,0,0,0,0
1534344744508.0,7.733,0,0,0,0,0,0,460.55,0
1534344744514.0,7.667,0,0,537.2,0,0,0,0,0
1534344745227,7.6,0,0,0,0,0,0,0,0
1534344745227.0,7.64,754.0,0,0,0,0,0,0,0
1534344745508.0,7.68,0,0,0,0,0,0,419.0,0
1534344745514.0,7.72,0,0,388.9,0,0,0,0,0
1534344746026.0,7.76,0,238.3,0,0,0,0,0,0
1534344746227,7.8,0,0,0,0,0,0,0,0
1534344746465.0,7.8,0,0,0,564.0,0,0,0,0
1534344746514.0,7.8,0,0,368.95,0,0,0,0,0
1534344746636.0,7.8,0,0,0,0,413.0,0,0,0
1534344747026.0,7.8,0,125.2,0,0,0,0,0,0
1534344747227,7.8,0,0,0,0,0,0,0,0
1534344747514.0,7.8,0,0,414.0,0,0,0,0,0
